# Wavelength   Rlam
154.21273 46.30362
154.28147 46.30111
154.35024 46.29859
154.41904 46.29608
154.48787 46.29356
154.55673 46.29104
154.62562 46.28852
154.69455 46.28600
154.76350 46.28348
154.83249 46.28096
154.90150 46.27843
154.97055 46.27591
155.03962 46.27338
155.10873 46.27085
155.17787 46.26832
155.24704 46.26579
155.31624 46.26326
155.38547 46.26073
155.45473 46.25820
155.52402 46.25566
155.59335 46.25313
155.66270 46.25059
155.73208 46.24806
155.80150 46.24552
155.87095 46.24298
155.94043 46.24044
156.00993 46.23789
156.07947 46.23535
156.14905 46.23281
156.21865 46.23026
156.28828 46.22771
156.35794 46.22517
156.42764 46.22262
156.49736 46.22007
156.56712 46.21752
156.63691 46.21496
156.70673 46.21241
156.77658 46.20985
156.84646 46.20730
156.91637 46.20474
156.98632 46.20218
157.05629 46.19962
157.12630 46.19706
157.19634 46.19450
157.26641 46.19194
157.33651 46.18938
157.40664 46.18681
157.47680 46.18425
157.54699 46.18168
157.61722 46.17911
157.68747 46.17654
157.75776 46.17397
157.82808 46.17140
157.89843 46.16883
157.96881 46.16625
158.03923 46.16368
158.10967 46.16110
158.18015 46.15852
158.25065 46.15594
158.32119 46.15336
158.39176 46.15078
158.46236 46.14820
158.53300 46.14562
158.60366 46.14303
158.67436 46.14045
158.74509 46.13786
158.81584 46.13527
158.88663 46.13268
158.95746 46.13009
159.02831 46.12750
159.09920 46.12491
159.17011 46.12232
159.24106 46.11972
159.31204 46.11713
159.38305 46.11453
159.45410 46.11193
159.52517 46.10933
159.59628 46.10673
159.66742 46.10413
159.73859 46.10153
159.80979 46.09892
159.88102 46.09632
159.95229 46.09371
160.02359 46.09110
160.09491 46.08849
160.16627 46.08588
160.23767 46.08327
160.30909 46.08066
160.38055 46.07805
160.45204 46.07543
160.52356 46.07282
160.59511 46.07020
160.66669 46.06758
160.73831 46.06496
160.80995 46.06234
160.88163 46.05972
160.95335 46.05710
161.02509 46.05447
161.09686 46.05185
161.16867 46.04922
161.24051 46.04660
161.31238 46.04397
161.38429 46.04134
161.45622 46.03871
161.52819 46.03607
161.60019 46.03344
161.67222 46.03081
161.74428 46.02817
161.81638 46.02553
161.88851 46.02290
161.96067 46.02026
162.03286 46.01762
162.10508 46.01498
162.17734 46.01233
162.24963 46.00969
162.32195 46.00704
162.39430 46.00440
162.46669 46.00175
162.53911 45.99910
162.61156 45.99645
162.68404 45.99380
162.75656 45.99115
162.82910 45.98850
162.90168 45.98584
162.97429 45.98319
163.04694 45.98053
163.11961 45.97787
163.19232 45.97521
163.26507 45.97255
163.33784 45.96989
163.41065 45.96723
163.48348 45.96456
163.55635 45.96190
163.62926 45.95923
163.70219 45.95656
163.77516 45.95390
163.84816 45.95123
163.92120 45.94855
163.99426 45.94588
164.06736 45.94321
164.14049 45.94053
164.21366 45.93786
164.28686 45.93518
164.36008 45.93250
164.43335 45.92982
164.50664 45.92714
164.57997 45.92446
164.65333 45.92178
164.72672 45.91909
164.80015 45.91641
164.87360 45.91372
164.94709 45.91103
165.02062 45.90835
165.09417 45.90565
165.16776 45.90296
165.24139 45.90027
165.31504 45.89758
165.38873 45.89488
165.46245 45.89219
165.53620 45.88949
165.60999 45.88679
165.68381 45.88409
165.75766 45.88139
165.83154 45.87869
165.90546 45.87598
165.97941 45.87328
166.05340 45.87057
166.12741 45.86787
